Key,Source,type,ko,en,es,zh-cn,zh-tw
toast45,일일 입장 횟수를 초과했습니다.,,일일 입장 횟수를 초과했습니다.,You have reached the daily entry limit.,Excediste el límite diario de entradas .,已超过每日入场次数。,已超過每日入場次數。
toast46,최소 1개의 무기를 등록해야 합니다.,,최소 1개의 무기를 등록해야 합니다.,You must register at least 1 weapon.,Debes registrar al menos 1 arma.,需要至少添加1个武器。,至少需登錄1個武器。
toast47,유효하지 않은 티켓을 사용했습니다.,,유효하지 않은 티켓을 사용했습니다.,You used an invalid ticket.,Usaste un boleto inválido.,使用的票券无效。,使用了無效的票券。
toast49,소모품 칸이 부족합니다. 소모품 인벤토리를 확보해주세요.,,소모품 칸이 부족합니다. 소모품 인벤토리를 확보해주세요.,You don't have enough slots for consumables. Please make space in your consumables inventory.,No tienes espacios suficientes para consumibles. Por favor haz espacio en el inventario de consumibles.,消耗品栏位不足。需要空出消耗品背包。,消耗品欄位不足。請確認消耗品背包。
toast50,균열에 입장할 수 없습니다.,,균열에 입장할 수 없습니다.,Cannot enter the Crevasse.,No puedes entrar a la grieta.,无法进入龟裂。,無法進入龜裂。
toast51,한계의 땅 일일 입장 횟수를 초과했습니다.,,한계의 땅 일일 입장 횟수를 초과했습니다.,You have reached the daily entry limit for Land of Limits.,Excediste el límite de entradas diario para la Tierra de los límites.,已超过极限之地每日入场次数。,已超過極限之地每日入場次數。
toast52,최소 1개의 무기를 장착해야 합니다.,,최소 1개의 무기를 장착해야 합니다.,You must equip at least 1 weapon.,Debes equipar al menos 1 arma.,需要至少装备1个武器。,需要至少裝備1個武器。
toast53,전체 일괄 합성을 할 수 없습니다,,전체 일괄 합성을 할 수 없습니다,Cannot fuse the entire batch.,No puedes fusionar todo el lote.,无法进行全部批量合成。,無法進行全部批量合成。
toast54,전체 일괄 합성에 성공했습니다,,전체 일괄 합성에 성공했습니다,Successfully fused the entire batch.,Fusionaste con éxito todo el lote.,全部批量合成成功。,全部批量合成成功。
toast55,유효한 요청이 아닙니다.,,유효한 요청이 아닙니다.,Invalid request.,Solicitud inválida.,请求无效。,非有效的請求。
toast56,이미 최대 레벨에 도달한 무기입니다.,,이미 최대 레벨에 도달한 무기입니다.,This weapon already reached max level.,El arma ya alcanzó el nivel máximo.,该武器已达到最高等级。,該武器已達到最高等級。
toast57,알을 빠르게 클릭해서 부화시켜보세요,,알을 빠르게 클릭해서 부화시켜보세요,Click the egg quickly to hatch it.,Toca el huevo rápido para hacer que eclosione.,快速点击蛋，尝试孵化。,快速點擊蛋，嘗試孵化。
toast58,더 이상 무기를 판매할 수 없습니다.,,더 이상 무기를 판매할 수 없습니다.,You cannot sell weapons anymore.,Ya no puedes vender armas.,无法出售更多武器。,無法販賣更多武器。
toast59,잠금되어 있는 무기는 판매할 수 없습니다.,,잠금되어 있는 무기는 판매할 수 없습니다.,You cannot sell locked weapons.,No puedes vender armas bloqueadas.,无法出售锁定的武器。,無法販賣鎖定中的武器。
toast60,합성에 성공했습니다.,,합성에 성공했습니다.,Fusion successful.,Fusión exitosa.,合成成功。,合成已成功。
toast61,더 이상 합성할 수 없습니다.,,더 이상 합성할 수 없습니다.,This can no longer be fused.,Ya no se puede fusionar.,无法再合成。,無法再合成。
toast63,특성을 통해 무기 최대 장착 개수를 업그레이드 해보세요.,,특성을 통해 무기 최대 장착 개수를 업그레이드 해보세요.,Use Attributes to upgrade max equip count.,Aumenta el número máximo de equipos mediante los atributos.,利用天赋，升级武器最大装备数量。,透過特性，升級武器最大裝備數量吧。
toast64,유효하지 않은 장신구를 선택했습니다.,,유효하지 않은 장신구를 선택했습니다.,You have selected an invalid accessory.,Seleccionaste un accesorio inválido.,选择的饰品无效。,選擇了無效的的飾品。
toast65,장신구 계승에 성공했습니다!,,장신구 계승에 성공했습니다!,Accessory inheritance successful!,¡Herencia de accesorio exitosa!,饰品继承成功！,飾品繼承已成功！
toast66,[성공] 마법 부여 중 마법석에 깃든 힘 대부분을 옮기는 데에 성공했습니다.,,[성공] 마법 부여 중 마법석에 깃든 힘 대부분을 옮기는 데에 성공했습니다.,[Success] Most of the power imbued in the Magic Stone has moved during Enchantment.,[Éxito] Moviste la mayor parte del poder imbuido en la piedra mágica durante el encantamiento.,【成功】在赋予魔法的过程中，已成功转移蕴藏在魔法石的大部分力量。,[成功]在賦予魔法的過程中，已成功轉移蘊藏在魔法石的大部分力量。
toast67,실패한 강화 내역이 없습니다.,,실패한 강화 내역이 없습니다.,There is no history of failed enhancements.,No hay historial de encantamientos fallidos.,找不到强化失败记录。,沒有強化失敗明細。
toast68,[완벽] 마법 부여 중 마법석에 깃든 힘 모두를 옮기는 데에 성공했습니다.,,[완벽] 마법 부여 중 마법석에 깃든 힘 모두를 옮기는 데에 성공했습니다.,[Perfect] All of the power imbued in the Magic Stone has moved during Enchantment.,[Perfecto] Moviste todo el poder imbuido en la piedra mágica durante el encantamiento.,【完美】在赋予魔法的过程中，已成功转移蕴藏在魔法石的全部力量。,[完美]在賦予魔法的過程中，已成功轉移蘊藏在魔法石的全部力量。
toast69,계승에 필요한 %s이(가) 부족합니다.,,계승에 필요한 %s이(가) 부족합니다.,Not enough %s for inheritance.,No hay suficiente %s para heredar.,继承所需的%s不足。,繼承所需的%s不足。
toast70,최대 강화 수치에 도달한 장신구에는 사용할 수 없습니다.,,최대 강화 수치에 도달한 장신구에는 사용할 수 없습니다.,This cannot be used for an accessory at max enhancement value.,No puede usarse para un accesorio que ya alcanzó el valor máx. de mejora.,无法使用已达到最大强化次数的饰品。,無法使用已達到最大強化次數的飾品。
toast71,황금 망치를 사용하여 강화 횟수를 1 복구하였습니다.,,황금 망치를 사용하여 강화 횟수를 1 복구하였습니다.,The Golden Hammer restored 1 enhancement count.,Usaste el martillo dorado para restaurar 1 del número de mejoras.,使用黄金锤子恢复了1次强化次数。,使用黃金鎚恢復了1次強化次數。
toast72,마법 부여되지 않은 장신구는 재료로 사용할 수 없습니다.,,마법 부여되지 않은 장신구는 재료로 사용할 수 없습니다.,Accessories with no Enchantments cannot be used as material.,Los accesorios sin encantamientos no pueden usarse como material.,无法将未赋予魔法的饰品用作材料。,無法將未賦予魔法的飾品作為材料使用。
toast73,[보존] 마법 부여 중 마법석에 깃든 힘 일부가 소실됐습니다.,,[보존] 마법 부여 중 마법석에 깃든 힘 일부가 소실됐습니다.,[Preservation] Some of the power imbued in the Magic Stone was lost during Enchantment.,[Preservación] Perdiste un poco del poder imbuido en la piedra mágica durante el encantamiento.,【留存】在赋予魔法的过程中，丢失了蕴藏在魔法石的部分力量。,[保存]在賦予魔法的過程中，損失了蘊藏在魔法石的一部分力量。
toast74,황금 망치를 보유하고 있지 않습니다.,,황금 망치를 보유하고 있지 않습니다.,You don't have a Golden Hammer.,No tienes un martillo dorado.,未持有黄金锤子。,未持有黃金鎚。
toast75,유효하지 않은 장신구를 재료로 선택했습니다.,,유효하지 않은 장신구를 재료로 선택했습니다.,You selected an invalid accessory as material.,Seleccionaste un accesorio inválido como material.,作为材料选择的饰品无效。,選擇了無效飾品作為材料使用。
toast76,- 강화 실패 -,,- 강화 실패 -,- Enhancement Failed -,- Mejora fallida -,- 强化失败 -,- 強化失敗 -
toast77,마법 부여에 필요한 주문의 흔적이 부족합니다.,,마법 부여에 필요한 주문의 흔적이 부족합니다.,You don't have enough Spell Traces for Enchantment.,No tienes suficientes rastros de hechizos necesarios para el encantamiento.,赋予魔法所需的咒语痕迹不足。,賦予魔法所需的咒語痕跡不足。
toast78,[손실] 마법 부여 중 마법석에 깃든 힘이 많이 소실됐습니다.,,[손실] 마법 부여 중 마법석에 깃든 힘이 많이 소실됐습니다.,[Loss] A lot of the power imbued in the Magic Stone was lost during Enchantment.,[Pérdida] Perdiste mucho del poder imbuido en la piedra mágica durante el encantamiento.,【损失】在赋予魔法的过程中，丢失了蕴藏在魔法石的大部分力量。,[損失]在賦予魔法的過程中，損失了蘊藏在魔法石的大部分力量。
toast79,장신구 인벤토리의 여유 공간이 부족합니다.,,장신구 인벤토리의 여유 공간이 부족합니다.,Not enough space in your accessory inventory.,No tienes suficiente espacio en el inventario de accesorios.,饰品背包的剩余空间不足。,飾品背包的剩餘空間不足。
toast82,최대 강화 수치에 도달한 장신구입니다.,,최대 강화 수치에 도달한 장신구입니다.,This accessory has already reached max enhancement value.,El accesorio ya alcanzó el valor máximo de mejora.,该饰品已达到最大强化次数。,已達到最大強化數值的飾品。
toast83,유효하지 않은 장신구를 계승 대상으로 선택했습니다.,,유효하지 않은 장신구를 계승 대상으로 선택했습니다.,You selected an invalid accessory as the inheritance target.,Seleccionaste un accesorio inválido como objetivo de herencia.,作为继承目标选择的饰品无效。,選擇了無效飾品作為繼承對象。
toast84,장신구를 강화할 수 없습니다. 메소와 재료가 충분한지 확인해보세요.,,장신구를 강화할 수 없습니다. 메소와 재료가 충분한지 확인해보세요.,Cannot enhance accessory. Please make sure you have enough Mesos and materials.,No puedes mejorar el accesorio. Por favor comprueba que tengas suficientes mesos y materiales.,无法强化饰品。请确认枫币与材料是否充分。,無法強化飾品。請確認楓幣與材料是否足夠。
toast85,유효하지 않은 마법석을 선택했습니다.,,유효하지 않은 마법석을 선택했습니다.,You selected an invalid Magic Stone.,Seleccionaste una piedra mágica inválida.,选择的魔法石无效。,選擇了無效的魔法石。
toast86,계승에 필요한 메소가 부족합니다.,,계승에 필요한 메소가 부족합니다.,You need more Mesos for enhancement.,Necesitas más mesos para la mejora.,继承所需的枫币不足。,繼承所需的楓幣不足。
toast87,[대손실] 마법 부여 중 마법석에 깃든 힘이 거의 소실됐습니다.,,[대손실] 마법 부여 중 마법석에 깃든 힘이 거의 소실됐습니다.,[Big Loss] Most of the power imbued in the Magic Stone was lost during Enchantment.,[Pérdida grande] Perdiste la mayoría del poder imbuido en la piedra mágica durante el encantamiento.,【大损失】在赋予魔法的过程中，丢失了蕴藏在魔法石的几乎所有力量。,[巨大損失]在賦予魔法中，損失了幾乎是蘊藏在魔法石的所有力量。
toast88,- 강화 성공 -,,- 강화 성공 -,- Enhancement Successful -,- Mejora exitosa -,- 强化成功 -,- 強化成功 -
toast89,마법 부여에 필요한 메소가 부족합니다.,,마법 부여에 필요한 메소가 부족합니다.,You need more Mesos for Enchantment.,Necesitas más mesos para hacer el encantamiento.,赋予魔法所需的枫币不足。,魔法賦予上所需的楓幣不足。
toast90,유효하지 않은 슬롯을 선택했습니다.,,유효하지 않은 슬롯을 선택했습니다.,You have selected an invalid slot.,Seleccionaste un espacio inválido.,选择的插槽无效。,選擇了無效的欄位。
toast91,계승 받을 장신구의 등급(%s)이 재료 장신구의 등급(%s)보다 낮습니다.,,계승 받을 장신구의 등급(%s)이 재료 장신구의 등급(%s)보다 낮습니다.,The inheriting accessory rank (%s) is lower than the material accessory rank (%s).,El rango del accesorio a heredarse (%s) debe ser menor que el rango del accesorio de material (%s).,待继承饰品的级别（%s）比材料饰品的级别（%s）低。,將受到繼承飾品的階級(%s)比材料飾品的階級(%s)低。
toast92,%s을(를) 퀵슬롯%s했습니다.,,%s을(를) 퀵슬롯%s했습니다.,%s has been quickslotted %s.,%s ha asignado %s rápido.,,%s已加入快速欄位%s。
toast93,%s을(를) 퀵슬롯에 등록했습니다.,,%s을(를) 퀵슬롯에 등록했습니다.,Set %s to a quick slot.,Se registró %s en un espacio rápido.,已将%s添加到快捷插槽。,已將%s登錄在快速欄位。
toast94,%s을(를) 퀵슬롯에서 해제했습니다.,,%s을(를) 퀵슬롯에서 해제했습니다.,Removed %s from a quick slot.,Se quitó %s de un espacio rápido.,已从快捷插槽中解除%s。,已從快速欄位中解除%s。
toast96,장신구는 최대 10개까지만 제작이 가능합니다.,,장신구는 최대 10개까지만 제작이 가능합니다.,Up to 10 accessories can be crafted.,Se pueden crear hasta 10 accesorios.,最多可制作10个饰品。,飾品最多可製作10個。
toast97,재료가 부족하거나 가방에 여유 슬롯이 부족하여 아이템을 제작할 수 없습니다.,,재료가 부족하거나 가방에 여유 슬롯이 부족하여 아이템을 제작할 수 없습니다.,Cannot craft the item because there is either not enough materials or not enough space in your bag.,No puedes crear el objeto porque no tienes suficientes materiales o no tienes suficiente espacio en la bolsa.,材料不足或背包的剩余插槽不足，无法制作道具。,材料不足或背包剩餘欄位不足，無法製作道具。
toast98,아직 획득할 수 없는 보상입니다.,,아직 획득할 수 없는 보상입니다.,You cannot claim this reward yet.,No puedes reclamar esta recompensa aún.,目前还无法获得该奖励。,還無法獲得的獎勵。
toast100,오늘은 이미 보상을 획득했습니다.,,오늘은 이미 보상을 획득했습니다.,You already claimed the reward today.,Ya reclamaste la recompensa hoy.,今日已获得该奖励。,今日已獲得獎勵。
toast102,이미 획득한 보상입니다.,,이미 획득한 보상입니다.,You already claimed this reward.,Ya reclamaste esta recompensa.,你已获得该奖励。,已獲得的獎勵。
toast103,미션을 새로 고침 하는 데에 필요한 다이아가 부족합니다.,,미션을 새로 고침 하는 데에 필요한 다이아가 부족합니다.,Not enough Diamonds to reset the mission.,No tienes suficientes diamantes para reiniciar la misión.,刷新任务所需的钻石不足。,刷新任務所需的鑽石不足。
toast105,"미션을 완료할 수 없는 상태입니다. 진행도를 모두 채운 후, 다시 시도해주세요.",,"미션을 완료할 수 없는 상태입니다. 진행도를 모두 채운 후, 다시 시도해주세요.",You cannot complete the mission. Check your progress and try again.,No puedes completar la misión. Completa el progreso e intenta de nuevo.,当前状态下无法完成任务。请完成所有进度后再试。,為無法完成任務的狀態。填滿所有進度後，請重新嘗試。
toast107,"모든 주간 미션 완료 후, 수령할 수 있습니다.",,"모든 주간 미션 완료 후, 수령할 수 있습니다.",You can claim after completing all weekly missions.,Puede reclamarse tras completar todas las misiones semanales.,完成所有每周任务后可以领取。,完成所有每週任務後可以領取。
toast108,"모든 일일 미션 완료 후, 수령할 수 있습니다.",,"모든 일일 미션 완료 후, 수령할 수 있습니다.",You can claim after completing all daily missions.,Puede reclamarse tras completar todas las misiones diarias.,完成所有每日任务后可以领取。,完成所有每日任務後可以領取。
toast112,<color=yellow>- 미션 달성 -</color> %d 다이아를 획득합니다.,,<color=yellow>- 미션 달성 -</color> %d 다이아를 획득합니다.,<color=yellow>- Mission Completed -</color> %d Diamonds earned.,<color=yellow>- Misión completada -</color> %d diamantes obtenidos.,<color=yellow> - 任务完成 - </color>已获得%d钻石。,<color=yellow>- 任務達成 -</color>獲得%d鑽石。
toast113,잠시 후 다시 시도해주십시오.,,잠시 후 다시 시도해주십시오.,Please try again later.,Vuelve a intentarlo más tarde.,请稍后再试。,請稍後再次嘗試。
toast114,복조리를 %d개 획득했습니다!,,복조리를 %d개 획득했습니다!,Received %d Bamboodle(s).,Recibiste %d Bamboodle(s).,已获得%d个福笊篱。,已獲得福笊籬%d個。
toast116,오늘은 이미 획득한 보상입니다.,,오늘은 이미 획득한 보상입니다.,You already claimed this reward today.,Ya reclamaste esta recompensa hoy.,今天已领取该奖励。,今天已領取該獎勵。
toast117,적정 스테이지 클리어 횟수가 부족합니다.,,적정 스테이지 클리어 횟수가 부족합니다.,You didn't reach the recommended stage clears.,No llegaste a etapa superada recomendada.,推荐关卡的通关次数不足。,適合關卡的完成次數不足。
toast118,소모품 인벤토리의 여유 공간이 부족합니다.,,소모품 인벤토리의 여유 공간이 부족합니다.,Not enough space in your consumables inventory.,No tienes suficiente espacio en el inventario de consumibles.,消耗品背包剩余空间不足。,消耗品背包的剩餘空間不足。
toast119,월드 코인이 부족하여 소환에 실패했습니다.,,월드 코인이 부족하여 소환에 실패했습니다.,Not enough World Coins to summon.,No lograste invocar debido a que no tienes suficientes monedas del mundo.,世界币不足，召唤失败。,楓世界金幣不足，召喚失敗。
toast120,다이아가 부족하여 소환에 실패했습니다.,,다이아가 부족하여 소환에 실패했습니다.,Not enough Diamonds to summon.,No lograste invocar debido a que no tienes suficientes diamantes.,钻石不足，召唤失败。,鑽石不足，因此召喚失敗了。
toast121,%s을(를) 획득했습니다.,,%s을(를) 획득했습니다.,%s obtained.,%s obtenido.,已获得%s。,已獲得%s。
toast122,소모품 인벤토리 슬롯이 부족합니다.,,소모품 인벤토리 슬롯이 부족합니다.,Not enough slots in your consumables inventory.,No tienes suficientes espacios en el inventario de consumibles.,消耗品背包插槽不足。,消耗品背包欄位不足。
toast124,펫 인벤토리 슬롯이 부족합니다.,,펫 인벤토리 슬롯이 부족합니다.,Not enough slots in your pet inventory.,No tienes espacios suficientes en el inventario de mascotas.,宠物背包插槽不足。,寵物背包欄位不足。
toast125,방어구 인벤토리 슬롯이 부족합니다.,,방어구 인벤토리 슬롯이 부족합니다.,Not enough slots in your armor inventory.,No tienes suficientes espacios en el inventario de armadura.,防具背包插槽不足。,防具背包欄位不足。
toast127,[%s] 소울 피스를 %d개 획득했습니다.,,[%s] 소울 피스를 %d개 획득했습니다.,[%s] Obtained %d Soul Shard(s).,[%s] obtuvo %d fragmento(s) de alma.,【%s】已获得%d个灵魂碎片。,已獲得[%s]靈魂碎片%d個。
toast130,%s 을(를) 사용했습니다.,,%s 을(를) 사용했습니다.,You used %s.,Usaste %s.,已使用%s。,已使用%s。
toast133,너무 많은 수량의 아이템 사용을 시도했습니다.,,너무 많은 수량의 아이템 사용을 시도했습니다.,You tried to use too many items.,Intentaste demasiadas veces.,试图使用过多道具。,試圖使用過多數量的道具。
toast135, %s 퀘스트 클리어 후 이용할 수 있습니다.,, %s 퀘스트 클리어 후 이용할 수 있습니다., Available after completing the %s quest., Disponible tras completar la misión de %s., 完成%s委托后可使用。, 完成%s課題後可使用。
toast138,최대 방어구 보유 슬롯이 10칸 늘어났습니다.,,최대 방어구 보유 슬롯이 10칸 늘어났습니다.,Max armor slots increased by 10.,Se aumentaron en 10 los espacios de armadura máx.,最大防具持有插槽已扩展10格。,最大防具持有欄位已增加10格。
toast142,최대 펫 보유 슬롯이 10칸 늘어났습니다.,,최대 펫 보유 슬롯이 10칸 늘어났습니다.,Max pet slots increased by 10.,Se aumentaron en 10 los espacios de mascotas máx.,最大宠物持有插槽已扩展10格。,最大寵物持有欄位已增加10格。
toast143,최대 기타 보유 슬롯이 10칸 늘어났습니다.,,최대 기타 보유 슬롯이 10칸 늘어났습니다.,Max misc. slots increased by 10.,Se aumentaron en 10 varios de los espacios máx.,最大其他持有插槽已扩展10格。,最大其他持有欄位已增加10格。
toast144,미구현 기능,,미구현 기능,Incomplete function,Función incompleta,未实现的功能,未呈現的功能
toast146,치장 인벤토리 슬롯이 부족합니다.,,치장 인벤토리 슬롯이 부족합니다.,Not enough slots in your decorations inventory.,No tienes espacios suficientes en el inventario de decoraciones.,装饰背包插槽不足。,裝飾背包欄位不足。
toast147,최대 무기 보유 슬롯이 10칸 늘어났습니다.,,최대 무기 보유 슬롯이 10칸 늘어났습니다.,Max weapon slots increased by 10.,Se aumentaron en 10 los espacios de armas máx.,最大武器持有插槽已扩展10格。,最大武器持有欄位已增加10格。
toast149,가방의 최대 슬롯을 초과하여 사용할 수 없습니다. (최대 슬롯:%d),,가방의 최대 슬롯을 초과하여 사용할 수 없습니다. (최대 슬롯:%d),Cannot use because you already have max bag slots (%d).,No puede usarse porque excediste el máximo de espacios en la bolsa (%d).,已超出背包的最大插槽，无法使用。（最大插槽：%d）,已超出背包的最大欄位，無法使用。(最大欄位：%d)
toast151,최대 소모품 보유 슬롯이 10칸 늘어났습니다.,,최대 소모품 보유 슬롯이 10칸 늘어났습니다.,Max consumable slots increased by 10.,Se aumentaron en 10 los espacios de consumibles máx.,最大消耗品持有插槽已扩展10格。,最大消耗品持有欄位已增加10格。
toast152,%s 소울 피스를 획득했습니다.,,%s 소울 피스를 획득했습니다.,Obtained %s Soul Shard(s).,Obtuviste %s fragmento(s) de alma.,已获得%s灵魂碎片。,已獲得%s靈魂碎片。
toast156,카리아인의 메테오 공격을 회피하였습니다!,,카리아인의 메테오 공격을 회피하였습니다!,You evaded Mad Mage's Meteor Shower attack!,¡Evadiste el ataque de Lluvia de meteoros del Hechicero loco!,成功回避了卡里亚恩的流星攻击！,成功迴避了卡利艾茵的火流星攻擊！
toast157,무기 슬롯이 잠겨 있습니다. 특성을 통해 잠금 해제할 수 있습니다.,,무기 슬롯이 잠겨 있습니다. 특성을 통해 잠금 해제할 수 있습니다.,This weapon slot is locked. You can unlock it through your Attributes.,El espacio de arma está bloqueado. Puedes desbloquearlo mediante los atributos.,武器插槽已被锁定。通过天赋可解锁。,武器欄位已鎖定。透過特性可解鎖。
toast158,안전지대에서만 활성화됩니다.,,안전지대에서만 활성화됩니다.,Only activates in the Safe Zone.,Solo se activa en la zona segura.,仅可在安全地带激活。,僅可在安全地帶啟動。
toast159,보유 메소가 부족합니다.,,보유 메소가 부족합니다.,You don't have enough Mesos.,No tienes mesos suficientes.,持有枫币不足。,持有楓幣不足。
toast161,이미 보상을 획득한 지역입니다.,,이미 보상을 획득한 지역입니다.,You already claimed the reward in this region.,Ya obtuviste la recompensa en esta región.,已领取该地区奖励。,已領取該地區獎勵。
toast162,지역 방문 보상으로 %d 필드젬을 획득하였습니다.,,지역 방문 보상으로 %d 필드젬을 획득하였습니다.,You earned %d Field Gem(s) as a reward for visiting the region.,Obtuviste %d gema(s) de campo como recompensa por visitar esta región.,作为地区访问奖励，已获得%d战场宝石。,作為地區訪問的獎勵，獲得了%d戰場寶石。
toast163,미방문 지역입니다. 지역을 방문하여 열어보세요.,,미방문 지역입니다. 지역을 방문하여 열어보세요.,You have not visited this region. Visit the area to unlock.,Región sin visitar. Visita el área para desbloquearla.,未访问的地区。请访问地区后开启。,未訪問的地區。訪問地區後開啟看看吧。
toast164,아직 탐색 기능을 사용할 수 없습니다.,,아직 탐색 기능을 사용할 수 없습니다.,The search function is currently unavailable.,La función de búsqueda no se encuentra disponible.,目前无法使用探索功能。,目前無法使用探索功能。
toast165,아직 특성을 사용할 수 없습니다.,,아직 특성을 사용할 수 없습니다.,You cannot use Attributes yet.,No puedes usar atributos aún.,目前无法使用天赋。,無法使用特性。
toast166,아직 달성 조건을 만족하지 못했습니다.,,아직 달성 조건을 만족하지 못했습니다.,You haven't met the completion requirement yet.,No has alcanzado aún el requisito por completar.,尚未满足达成条件。,尚未滿足達成條件。
toast167,아직 한계의 땅에 접근할 수 없습니다.,,아직 한계의 땅에 접근할 수 없습니다.,You cannot access the Land of Limits yet.,No puedes entrar a la Tierra de los límites aún.,目前无法访问极限之地。,目前無法進入極限之地。
toast168,아직 도감을 사용할 수 없습니다.,,아직 도감을 사용할 수 없습니다.,You cannot use the codex yet.,No puedes usar el códex aún.,目前无法使用图鉴。,無法使用圖鑑。
toast169,도전 기간이 종료됐습니다.,,도전 기간이 종료됐습니다.,The challenge period has ended.,El periodo de desafío ya terminó.,挑战已过期。,挑戰期間已結束。
toast170,보상을 획득할 수 없습니다.,,보상을 획득할 수 없습니다.,You cannot claim the reward.,No puedes reclamar la recompensa.,无法获得奖励。,無法獲得獎勵。
toast172,<color=yellow>- %s 미션 달성 -</color> %d 다이아를 획득합니다.,,<color=yellow>- %s 미션 달성 -</color> %d 다이아를 획득합니다.,<color=yellow>- %s Mission Completed -</color> %d Diamonds earned.,<color=yellow>- %s Misión completada -</color> %d diamantes obtenidos.,<color=yellow> - %s任务完成 - </color>已获得%d钻石。,<color=yellow>- %s 任務達成-</color>獲得%d鑽石。
toast175,%d초 후에 받을 수 있습니다~,,%d초 후에 받을 수 있습니다~,You can claim in %d sec.,Puedes reclamar en %d s.,%d秒后可领取～,%d秒後可領取～
toast176,설 이벤트 기간이 종료됐습니다.,,설 이벤트 기간이 종료됐습니다.,The New Year's event period has ended.,El periodo del evento de Año Nuevo ya terminó.,春节活动已过期。,春節活動已結束。
toast178,최대 등록 개수를 초과해서 등록할 수 없습니다.,,최대 등록 개수를 초과해서 등록할 수 없습니다.,You've reached the registration limit.,Alcanzaste la cantidad máx. de registros.,已超出最大添加数量，无法添加。,已超過最大登錄數量，無法登錄。
toast179,더 이상 레벨 업 할 수 없습니다.,,더 이상 레벨 업 할 수 없습니다.,Cannot be leveled further.,No se puede subir más de nivel.,无法再升级。,無法再升級。
toast181,보유 주문서가 부족합니다.,,보유 주문서가 부족합니다.,You don't have enough scrolls.,No tienes suficientes pergaminos.,持有的咒语书不足。,持有卷軸不足。
toast184,파티명을 입력해주세요.,,파티명을 입력해주세요.,Enter the party name.,Escribe el nombre del grupo.,请输入队伍名称。,請輸入隊伍名稱。
toast185,현재 파티 인원보다 적게 설정할 수 없습니다.,,현재 파티 인원보다 적게 설정할 수 없습니다.,Cannot be set lower than the number of party members.,No puede establecerse un número menor que el de miembros del grupo actuales.,设置人数无法少于当前队伍人数。,設定人數無法少於現在隊伍人數。
toast186,유효하지 않은 파티입니다.,,유효하지 않은 파티입니다.,Invalid party.,Grupo no válido.,队伍无效。,非有效的隊伍。
toast187,중복으로 참가 요청할 수 없습니다.,,중복으로 참가 요청할 수 없습니다.,You cannot make duplicate participation requests.,No puedes hacer solicitudes de participación duplicadas.,无法重复请求加入。,無法重複請求參加。
toast188,이미 파티에 속해있습니다.,,이미 파티에 속해있습니다.,Already in a party.,Ya estás en un grupo.,你已属于该队伍。,已經屬於該隊伍。
toast189,모집이 마감된 상태입니다.,,모집이 마감된 상태입니다.,Recruitment has ended.,El reclutamiento terminó.,招募已结束。,招募為已結束狀態。
toast190,이미 다른 파티에 속해있습니다.,,이미 다른 파티에 속해있습니다.,Already in another party.,Ya estás en otro grupo.,你已属于其他队伍。,已經屬於其他隊伍。
toast191,파티장을 위임했습니다.,,파티장을 위임했습니다.,The Party Leader has been appointed.,Se designó un líder del grupo.,你已委任队长。,已委任隊長。
toast192,파티를 탈퇴하였습니다.,,파티를 탈퇴하였습니다.,You left the party.,Abandonaste el grupo.,你已退出队伍。,已退出隊伍。
toast193,파티에 남는 자리가 없습니다.,,파티에 남는 자리가 없습니다.,There's no room in the party.,No hay espacio en el grupo.,队伍内没有剩余位置。,隊伍內沒有剩餘位置。
toast194,파티장에 의해 추방당했습니다.,,파티장에 의해 추방당했습니다.,You were kicked by the Party Leader.,Te expulsó el líder del grupo.,你被队长踢出。,因隊長被踢除。
toast195,파티에 속해있지 않습니다.,,파티에 속해있지 않습니다.,You are not in a party.,No estás en un grupo.,你不属于队伍。,不屬於隊伍。
toast196,해당 파티는 모집이 마감됐습니다.,,해당 파티는 모집이 마감됐습니다.,Recruitment for the party has ended.,El reclutamiento para este grupo ya terminó.,该队伍已结束招募。,該隊伍招募已結束。
toast197,파티에 남은 자리가 부족해 가입이 거절됐습니다.,,파티에 남은 자리가 부족해 가입이 거절됐습니다.,There's no space in that party.,No hay espacio en el grupo.,队伍内剩余位置不足，被拒绝加入。,隊伍內剩餘位置不足，加入遭到拒絕。
toast198,해당 파티에 남는 자리가 없습니다.,,해당 파티에 남는 자리가 없습니다.,No space in the party.,No hay espacio en el grupo.,该队伍内没有剩余位置。,該隊伍內沒有剩餘位置。
toast200,비속어가 포함된 이름으로 파티를 만들 수 없습니다.,,비속어가 포함된 이름으로 파티를 만들 수 없습니다.,Cannot create a party using profanity in the name.,No puedes crear un grupo con palabras altisonantes en el nombre.,创建队伍时不能使用包含违禁词汇的名称。,創建隊伍時不可使用包含禁語的名稱。
toast201,파티장을 위임받았습니다.,,파티장을 위임받았습니다.,You've been appointed as Party Leader.,Te designaron como líder del grupo.,你被委任为队长。,被委任為隊長。
toast202,파티장만 파티장 위임을 할 수 있습니다.,,파티장만 파티장 위임을 할 수 있습니다.,Only the Party Leader can appoint a Party Leader.,Solo el líder del grupo puede designar a otro líder de grupo.,只有队长才有权限委任队长。,只有隊長才有可委任隊長。
toast203,%s 파티에 참가하였습니다.,,%s 파티에 참가하였습니다.,Joined the %s party.,Te uniste al grupo de %s.,你已加入%s队伍。,已加入%s隊伍。
