Key,Source,Note,ko,en,es,zh-cn,zh-tw
TutorialPinkbeanMessage_0033,2코인으로 <b>새로고침</b>을 해서 상점의 캐릭터를 갱신할 수 있어! \n지금 한번 [새로고침]을 눌러서 상점을 갱신해봐!,Default Text,2코인으로 <b>새로고침</b>을 해서 상점의 캐릭터를 갱신할 수 있어! \n지금 한번 [새로고침]을 눌러서 상점을 갱신해봐!,Spend 2 Coins to <b>refresh</b> the Character Shop!\nPress Refresh to try it out now!,¡Gasta 2 monedas para <b>actualizar</b> la tienda de personajes!\n¡Pulsa Actualizar para probarlo!,消耗2硬币进行<b>刷新</b>的话，可以更新商店的角色！\n用一次【刷新】更新商店！,用2硬幣可以<b>刷新</b>並更新商店的角色！\n現在按下一次[刷新]後更新商店看看吧！
RuneCard_RC20008_Desc,"<color=#00e58a>{0}</color> 시너지가 포함된 채로 전투에 진입하면, 1초마다 모든 유닛의 최대 체력이 <color=#00e58a>30</color>씩 증가합니다. 포함되어야 하는 시너지는 매 라운드 종료 시 바뀝니다.",Default Text,"<color=#00e58a>{0}</color> 시너지가 포함된 채로 전투에 진입하면, 1초마다 모든 유닛의 최대 체력이 <color=#00e58a>30</color>씩 증가합니다. 포함되어야 하는 시너지는 매 라운드 종료 시 바뀝니다.",Starting battle with the <color=#00e58a>{0}</color> Synergy increases the Max HP of all units by <color=#00e58a>30</color> every second. This Synergy changes at the end of each round.,Comenzar la batalla con la sinergia <color=#00e58a>{0}</color> aumenta los PV máx. de todas las unidades en <color=#00e58a>30</color> cada segundo. Esta sinergia cambia al final de cada ronda.,在包含<color=#00e58a>{0}</color>协同效果的状态下进入战斗时，所有单位的最大血量每秒增加<color=#00e58a>30</color>。必须包含的协同效果将在每回合结束时变更。,包含<color=#00e58a>{0}</color>連鎖效果的狀態下進入戰鬥時，每1秒所有英雄的最大體力增加 <color=#00e58a>30</color>。需包含的連鎖效果在每回合結束時變更。
CharacterRole_Support,서포터,Default Text,서포터,Support,Soporte,辅助,支援
IngameRules_Synergy_005,"시너지에는 <color=""#ffd400"">단계</color>가 있습니다. 각 단계별로 요구되는 수치를 달성할 경우, 시너지의 효과가 강화됩니다.",Default Text,"시너지에는 <color=""#ffd400"">단계</color>가 있습니다. 각 단계별로 요구되는 수치를 달성할 경우, 시너지의 효과가 강화됩니다.","Synergies have <color=""#ffd400"">levels</color>. Reach the required value for each level to enhance the Synergy's effects.","Las sinergias tienen <color=""#ffd400"">niveles</color>. Alcanza el valor necesario de cada etapa para mejorar los efectos de la sinergia.","协同效果分为多个<color=""#ffd400"">等级</color>。当达成各等级所需的数值时，会进一步强化相应的协同效果。","連鎖效果有<color=""#ffd400"">等級</color>之分。達到各等級所需的數值後，就會強化連鎖效果。"
CharacterRole_Tank,탱커,Default Text,탱커,Tank,Tanque,坦克,坦克
TutorialPinkbeanMessage_0093,"우리가 가진 캐릭터 중에, 초보자는 사냥꾼 특성을 가지고 있어.\n시너지 목록을 보면, 사냥꾼이 하나 올라가 있는 게 보일 거야.",Default Text,"우리가 가진 캐릭터 중에, 초보자는 사냥꾼 특성을 가지고 있어.\n시너지 목록을 보면, 사냥꾼이 하나 올라가 있는 게 보일 거야.","The Beginner character has Hunter attributes. Take a look at the Synergy list, and you'll see them there.",El personaje Principiante tiene atributos de Cazador. Revisa la lista de sinergias y lo verás allí.,在我们持有的角色中，新手拥有猎人天赋。\n查看协同效果列表，你就可以看到一个猎人会在上面。,在我們擁有的角色中，新手擁有獵人的特性。\n觀看連鎖效果目錄時，就會看到出現一個獵人。
RuneCard_RC20020_Desc,전투가 끝날 때 이 카드 오른쪽의 카드를 <color=#ff4d63>소각</color>합니다. 그 카드 판매 가치의 <color=#00e58a>3배</color>만큼 코인을 획득합니다. (최대 60코인까지 획득),Default Text,전투가 끝날 때 이 카드 오른쪽의 카드를 <color=#ff4d63>소각</color>합니다. 그 카드 판매 가치의 <color=#00e58a>3배</color>만큼 코인을 획득합니다. (최대 60코인까지 획득),The card to the right of this card will be <color=#ff4d63>Incinerated </color> when the battle ends. You will gain <color=#00e58a>3 times</color> the value of the card's sell value in Coins. (Max 60 Coins),La carta a la derecha de esta carta será <color=#ff4d63>incinerada</color> cuando acabe la batalla. Ganarás <color=#00e58a>3 veces</color> el valor de venta de la carta en monedas. (Máx. 60 monedas).,战斗结束时，<color=#ff4d63>销毁</color>位于该卡牌右边的卡牌，然后获得相当于相应卡牌出售价的<color=#00e58a>3倍</color>硬币。（最多获得60硬币）,戰鬥結束時，該卡牌右邊的卡牌會<color=#ff4d63>消失</color>。獲得相當於該卡牌販賣價值的<color=#00e58a>3倍</color>硬幣。(最多獲得60硬幣)
RuneCard_RC20034_Desc,캐릭터 상점의 판매 목록이 <color=#ff4d63>2칸</color> 줄어듭니다. 대신 새로고침 비용이 <color=#00e58a>1코인</color>이 됩니다.,Default Text,캐릭터 상점의 판매 목록이 <color=#ff4d63>2칸</color> 줄어듭니다. 대신 새로고침 비용이 <color=#00e58a>1코인</color>이 됩니다.,The Character Shop has <color=#ff4d63>2 fewer slots</color>. The refresh cost becomes <color=#00e58a>1 Coin</color>.,La tienda de personajes tiene <color=#ff4d96>2 ranuras menos</color>. La actualización cuesta <color=#00e58a>1 moneda</color>.,角色商店的出售列表将减少<color=#ff4d63>2格</color>，但刷新费用会成为<color=#00e58a>1硬币</color>。,角色商店的販賣目錄減少<color=#ff4d63>2格</color>。但刷新費用變為<color=#00e58a>1硬幣</color>。
CompleteChangeCoach,코치가 변경되었습니다.,Default Text,코치가 변경되었습니다.,The Coach was changed.,Se cambió el entrenador.,教练已变更。,已變更教練。
Tip1022,개발팀이 가장 싫어하는 룬 카드는 팬텀입니다. 개발팀을 가장 괴롭게 했거든요!,Default Text,개발팀이 가장 싫어하는 룬 카드는 팬텀입니다. 개발팀을 가장 괴롭게 했거든요!,The development team's least favorite Rune Card is Phantom. It gave them the most trouble!,La tarjeta de runa mejos favorita del equipo de desarrollo es Fantasma. ¡Fue la que les causó más problemas!,开发团队最讨厌的符文卡牌是“幻影”，因为团队成员都被这个卡牌受尽了折磨！,開發團隊最討厭的符文卡是幻影俠盜。因為它最讓開發團隊感到困擾！
IngameRules_Battle_005,전투 중에는 다음 행동들이 제한됩니다.\n\n● 아이템 장착\n● 유닛 배치 바꾸기\n● 룬 카드 위치 바꾸기\n● ESC 메뉴 호출\n● 단축키 기능,Default Text,전투 중에는 다음 행동들이 제한됩니다.\n\n● 아이템 장착\n● 유닛 배치 바꾸기\n● 룬 카드 위치 바꾸기\n● ESC 메뉴 호출\n● 단축키 기능,The following actions are limited during Battle.\n\n● Equipping items\n● Changing unit placement\n● Changing Rune Card locations\n● Opening the ESC menu\n● Shortcut functions,Las siguientes acciones están limitadas durante la batalla:\n\n● Equipar artículos\n● Cambiar la ubicación de la unidad\n● Cambiar la ubicación de las tarjetas de runas\n● Abrir el menú de ESC\n● Funciones de atajo,战斗过程中，以下行动会受到限制：\n\n● 佩戴道具\n● 更换单位的部署位置\n● 更换符文卡牌的位置\n● 调用ESC菜单\n● 使用快捷键功能,戰鬥過程中，限制以下行為。\n\n● 配戴道具\n● 變換英雄位置\n● 變換符文卡位置\n● 以ESC叫出選單\n● 快捷鍵功能
C20008_EnemyName,뿔이 본체입니다.,Default Text,뿔이 본체입니다.,The Horn Is Me,Yo soy el cuerno,角角的本体,角才是本體
RuneCard_RC20061_Desc,"사냥꾼 시너지의 <b>흡혈 효과</b>가 <color=#00e58a>남은 체력에 상관 없이 적용</color>되고, <color=#00e58a>100%</color> 추가로 적용됩니다.",Default Text,"사냥꾼 시너지의 <b>흡혈 효과</b>가 <color=#00e58a>남은 체력에 상관 없이 적용</color>되고, <color=#00e58a>100%</color> 추가로 적용됩니다.",The Hunter Synergy's <b>Lifesteal effect</b> is <color=#00e58a>applied regardless of remaining HP</color> for a <color=#00e58a>100%</color> greater value.,El <b>efecto Robo de vida</b> de la sinergia de Cazador se <color=#00e58a>applied regardless of remaining HP</color> for a <color=#00e58a>100 %</color> más de valor.,猎人协同效果的<b>吸血效果</b><color=#00e58a>不受剩余血量的影响，始终适用</color>，且该效果额外适用<color=#00e58a>100%</color>。,獵人連鎖效果的<b>吸血效果</b><color=#00e58a>和剩餘體力無關，會被套用</color>，並<color=#00e58a>100%</color>追加套用。
OutgameRules_Lobby_002,"로비는 싱글, 랭크, 챌린지 모드 등, 리그에 진입하지 않은 감독님들이 모여있는 공간입니다.\n여기서는 코치를 영입하거나, 다른 감독님들과 교류하거나, 우편을 받는 등 다양한 활동을 할 수 있습니다.",Default Text,"로비는 싱글, 랭크, 챌린지 모드 등, 리그에 진입하지 않은 감독님들이 모여있는 공간입니다.\n여기서는 코치를 영입하거나, 다른 감독님들과 교류하거나, 우편을 받는 등 다양한 활동을 할 수 있습니다.","The lobby is for directors who haven't entered League modes like Single, Ranked, or Challenge.\nWhen you're here, you can recruit Coaches, interact with other directors, or check your mail.","La sala es para directores que no hayan entrado a modos de la liga como individual, clasificatorio o desafío.\nCuando estés aquí, podrás reclutar entrenadores, interactuar con otros directores o revisar tu correo.",大厅是尚未进入单人、排位、挑战模式等联赛的主教练们相聚的空间。\n你可以在此招募教练、与其他主教练交流、接收邮件等，进行多种活动。,大廳是未進入單人、挑戰模式等賽事的監督們聚集的場所。\n在這裡可以招募教練或和其他監督交流，進行接收信件等各種活動。
Tip1003,"<color=#62D5FE>같은 캐릭터</color>를 많이 갖고 있을수록, 상점에서 등장할 확률이 줄어듭니다. ",Default Text,"<color=#62D5FE>같은 캐릭터</color>를 많이 갖고 있을수록, 상점에서 등장할 확률이 줄어듭니다. ","The more <color=#62D5FE>duplicate characters</color> you possess, the lower their chance to appear in the shop. ","Entre más <color=#62D5FE>personajes duplicados</color> poseas, menor será la probabilidad de que aparezcan en la tienda. ",如果持有的<color=#62D5FE>相同角色</color>越多，则在商店出现的概率越低。 ,擁有越多<color=#62D5FE>相同角色</color>，在商店上登場機率會減少。 
GameResult_Message,"마지막 라운드가 종료된 후의 결과입니다.\n사용한 캐릭터, 시너지가 도감에 등록됩니다.",Default Text,"마지막 라운드가 종료된 후의 결과입니다.\n사용한 캐릭터, 시너지가 도감에 등록됩니다.",The results show once the final round ends. The characters and Synergies you used will be registered in the Codex.,Los resultados se muestran al terminar la ronda final. Los personajes y sinergias que uses se registrarán en el códice.,此为最后回合结束后的结果。\n已使用的角色与协同效果将添加至图鉴。,最後一回合結束後的結果。\n使用的角色、連鎖效果將登錄於圖鑑。
TutorialPinkbeanMessage_0022,시너지가 활성화됐어! 왼쪽에 활성화된 사냥꾼 시너지가 보이지?\n이제 사냥꾼에 해당하는 노블레스와 초보자는 추가 효과를 얻어!,Default Text,시너지가 활성화됐어! 왼쪽에 활성화된 사냥꾼 시너지가 보이지?\n이제 사냥꾼에 해당하는 노블레스와 초보자는 추가 효과를 얻어!,"The Synergy is active! See the Hunter Synergy displayed on the left?\nNow, Hunters like Noblesses and Beginners will gain bonus effects!","¡La sinergia está activa! ¿Ves la sinergia cazador a la izquierda?\n¡Ahora, cazadores como noblezas y principiantes ganarán efectos adicionales!",协同效果被激活了！看到左侧激活的的猎人协同效果了吗？\n接下来，对应猎人的初心者和新手会获得额外效果！,連鎖效果已啟動！看到了左邊啟動的獵人連鎖效果吧？\n現在屬於獵人的貴族和初學者將會獲得額外效果！
IngameRules_Coach_004,"코치 중에는 코치 코스트가 음수인 코치들도 있습니다. 이 코치들을 마이너스 코치라고 합니다.\n마이너스 코치는 팀에 부정적인 효과를 가지고 있지만, 코치 코스트를 줄여주기 때문에 높은 코치 코스트를 가진 코치를 많이 편성할 수 있게 해줍니다.\n마이너스 코치의 효과를 실력으로 극복할 수 있다면 큰 전략적 이득이 되겠죠!",Default Text,"코치 중에는 코치 코스트가 음수인 코치들도 있습니다. 이 코치들을 마이너스 코치라고 합니다.\n마이너스 코치는 팀에 부정적인 효과를 가지고 있지만, 코치 코스트를 줄여주기 때문에 높은 코치 코스트를 가진 코치를 많이 편성할 수 있게 해줍니다.\n마이너스 코치의 효과를 실력으로 극복할 수 있다면 큰 전략적 이득이 되겠죠!","There are also Coaches with a negative Coach Cost, known as Nega Coaches.\nNega Coaches are bad for the team, but they reduce your Coach cost, so you can afford to assign better Coaches with higher Coach Costs.\nIf you can counteract a Nega Coach's effects, you'll gain a great strategic advantage!","También hay entrenadores con un costo de entrenador negativo, que se conocen como negaentrenadores.\nLos negaentrenadores perjudican al equipo, pero reducen el costo de entrenador, por lo que podrás asignar entrenadores mejores con costos de entrenador mayores.\nSi puedes contrarrestar los efectos de un negaentrenador, ¡ganarás una gran ventaja estratégica!",在众多教练中，有些教练的费用为负值，我们将其称为负值教练。\n负值教练虽然会为队伍带来负面效果，但能有效降低教练费用，因此可以配置更多费用较高的教练。\n如果可以用实力克服负值教练的负面效果，那他们会带来巨大的战略优势！,在教練中，也有一些教練的成本為負值。這些教練就稱之為負成本教練。\n負成本教練雖然會對隊伍帶來負面效果，但可以降低教練成本，因此可以較多高成本的教練。\n如果可以用實力克服負成本教練的效果，將會成為巨大的戰略優勢！
IngameRules_TeamPowerBoost_011,"룬 카드 중에는 조건을 맞추면 강력한 효과를 주는 경우가 많습니다.\n룬 카드의 조건을 잘 활용해서, 현재 팀의 상황에 맞는 룬 카드를 모아보세요!\n예를 들어, 빠른 레벨업을 목표로 한다면 경험치 위주의 룬 카드를 모으는 게 좋겠죠?",Default Text,"룬 카드 중에는 조건을 맞추면 강력한 효과를 주는 경우가 많습니다.\n룬 카드의 조건을 잘 활용해서, 현재 팀의 상황에 맞는 룬 카드를 모아보세요!\n예를 들어, 빠른 레벨업을 목표로 한다면 경험치 위주의 룬 카드를 모으는 게 좋겠죠?","There are many Rune Cards that imbue powerful effects when you meet their conditions.\nPay attention to those conditions and gather Rune Cards that suit your current team!\nFor example, if your goal is a swift level up, you should gather Rune Cards that benefit EXP!","Hay muchas cartas de runas que otorgan poderosos efectos cuando cumples sus condiciones.\n¡Presta atención a esas condiciones y reúne cartas de runas apropiadas para el equipo actual!\nPor ejemplo, si tu objetivo es subir rápido de nivel, ¡reúne cartas de runas que aumenten los puntos de EXP!",许多符文卡牌在满足规定条件时能发挥出强大的效果。\n请灵活运用这些符文卡牌的条件，收集与当前队伍状况相符的符文卡牌吧！\n例如，如果你的目标是快速升级，那么最好优先收集以经验值为主的符文卡牌。,有許多符文卡只要滿足條件就可以發會強大的效果。\n好好利用符文的條件，依據目前隊伍的狀況收集適合的符文卡吧！\n例如，目標為快速升級的話，就收集經驗值為主的符文卡吧？
CoachShop_LockedMasterCoach,일반 코치를 보유해야 구매할 수 있습니다.,Default Text,일반 코치를 보유해야 구매할 수 있습니다.,This can be purchased once you have a normal Coach.,Se puede comprar una vez que ya cuentes con un entrenador normal.,需要持有普通教练才能购买。,需要持有普通教練才可購買
TutorialPinkbeanMessage_0002,그럼 <b>캐릭터</b>를 모으는 것부터 시작해볼까?\n지금 보이는 캐릭터 상점에서 <b>코인</b>을 지불하고 캐릭터를 구매할 수 있어!,Default Text,그럼 <b>캐릭터</b>를 모으는 것부터 시작해볼까?\n지금 보이는 캐릭터 상점에서 <b>코인</b>을 지불하고 캐릭터를 구매할 수 있어!,"To begin with, you need to get some <b>characters</b>!\nYou can buy characters with <b>Coins</b> at the Character Shop!","¡Para empezar, debes obtener algunos <b>personajes</b>!\n¡Puedes comprar personajes con <b>monedas</b> en la tienda de personajes!",那么从收集<b>角色</b>开始吧！\n现在看到的是角色商店，在这里你可以支付<b>硬币</b>购买角色！,那麼開始收集<b>角色</b>看看吧？\n現在看到的角色商店上支付<b>硬幣</b>後即可購買角色！
CT10006Explain,룬 카드 총 가치,Default Text,룬 카드 총 가치,Total value of Rune Cards.,Valor total de las cartas de runas.,符文卡牌总价值,符文卡總價值
RuneCard_RC30019_Desc,"캐릭터 판매 시 코인을 얻지 못합니다. 대신 <color=#00e58a>판매한 비용만큼 스택</color>을 얻습니다. 1스택당 모든 아군의 가해량이 <color=#31e5ff>1%</color>씩 증가하고, 피해량은 <color=#31e5ff>0.5%</color>씩 감소합니다. (최대 60스택) (현재 <color=#31e5ff>{0}</color>점)",Default Text,"캐릭터 판매 시 코인을 얻지 못합니다. 대신 <color=#00e58a>판매한 비용만큼 스택</color>을 얻습니다. 1스택당 모든 아군의 가해량이 <color=#31e5ff>1%</color>씩 증가하고, 피해량은 <color=#31e5ff>0.5%</color>씩 감소합니다. (최대 60스택) (현재 <color=#31e5ff>{0}</color>점)","Unable to obtain Coins by selling characters. Instead, gain <color=#00e58a>stacks equal to the sales cost</color>. Allies gain <color=#31e5ff>1%</color> in damage and <color=#31e5ff>0.5%</color> Damage Reduction per stack. (Max 60 Stacks) (Current Stacks: <color=#31e5ff>{0}</color>)","No se pueden obtener monedas al vender personajes. En su lugar, obtienes <color=#00e58a>acumulaciones iguales al costo de venta</color>. Los aliados obtienen <color=#31e5ff>1 %</color> de daño y <color=#31e5ff>0,5 %</color> de Reducción de daño por acumulación. (Máximo 60 acumulaciones) (Acumulaciones actuales: <color=#31e5ff>{0}</color>)",出售角色时无法获得硬币，但可获得相当于<color=#00e58a>出售费用的堆叠</color>。每1层堆叠使所有我军造成的伤害量增加<color=#31e5ff>1%</color>，所受伤害量减少<color=#31e5ff>0.5%</color>。（最多60层堆叠）（当前为<color=#31e5ff>{0}</color>分）,販賣角色時，不會獲得硬幣。但獲得相當於<color=#00e58a>販賣費用的疊加</color>。每1疊加所有我軍的施加傷害量各增加<color=#31e5ff>1%</color>，受到傷害量各減少<color=#31e5ff>0.5%</color>。(最大60疊加)(現在<color=#31e5ff>{0}</color>分)
Achievement_Desc84,고유 시너지 효과로 부활하기 누적 {0}회,Default Text,고유 시너지 효과로 부활하기 누적 {0}회,Use a unique Synergy effect to revive characters a total of {0} time(s).,Usa un efecto de sinergia único para revivir personajes un total de {0} vez/veces.,使用专属协同效果累积复活{0}次,累積用固有連鎖效果效果復活{0}次
OutgameRules_CoachInventory_001,"코치 보관함에서 내 코치를 확인하고, 동행 코치를 설정해 보세요!",Default Text,"코치 보관함에서 내 코치를 확인하고, 동행 코치를 설정해 보세요!","View your Coaches in Coach Storage, and assign one to accompany you!",¡Ve a tus entrenadores en el almacén de entrenadores y asigna uno para que te acompañe!,在教练保管箱查看我的教练，并设置随行教练！,在教練保管箱中查看我的教練，設定同行教練吧！
GuidePopup_Coach,코치의 역할은 무엇인가요?,Default Text,코치의 역할은 무엇인가요?,What are Coaches for?,¿Para qué son los entrenadores?,教练的作用是什么？,教練的用途是什麼呢？
GuidePopup_Synergy,시너지가 발동되면 어떤 일이 생기나요?,Default Text,시너지가 발동되면 어떤 일이 생기나요?,What happens when Synergy is activated?,¿Qué pasa cuando se activa la sinergia?,触发协同效果会发生什么事情？,發動連鎖效果會發生什麼事情呢？
RuneCard_RC20032_Desc,다음 스테이지로 넘어갈 때마다 <color=#00e58a>보유한 코인의 25%만큼</color> 추가 코인을 획득합니다. (획득량 최대 25코인),Default Text,다음 스테이지로 넘어갈 때마다 <color=#00e58a>보유한 코인의 25%만큼</color> 추가 코인을 획득합니다. (획득량 최대 25코인),"When moving on to the next stage, gain Coins equal to <color=#00e58a>25% of your current Coins</color>. (Max 25)","Al avanzar a la siguiente etapa, obtén monedas equivalentes al <color=#00e58a>25ؘ % de tus monedas actuales</color>. (Máx. 25).",每当进入下一关卡时，额外获得相当于<color=#00e58a>已持有硬币25%</color>的硬币。（最多获得量为25硬币））,每當進入下個關卡時，獲得相當<color=#00e58a>持有硬幣的25%</color>追加硬幣。(獲得量最大25硬幣)
RuneCard_RC20052_Desc,"시그너스 시너지가 활성화된 상태일 때, 아군 유닛이 스킬 사용 시 추가로 물리 방어력 및 마법 방어력이 <color=#00e58a>50</color> 증가하고 공격속도 또한 <color=#00e58a>50%</color> 더 증가시킵니다.",Default Text,"시그너스 시너지가 활성화된 상태일 때, 아군 유닛이 스킬 사용 시 추가로 물리 방어력 및 마법 방어력이 <color=#00e58a>50</color> 증가하고 공격속도 또한 <color=#00e58a>50%</color> 더 증가시킵니다.","When the Cygnus Synergy is active, additionally increases Physical Defense and Magic Defense by <color=#00e58a>50</color> when an ally unit uses a skill, along with increasing Attack Speed by <color=#00e58a>50%</color>.","Cuando la sinergia de Cygnus se activa, aumenta adicionalmente la defensa física y mágica en <color=#00e58a>50</color> cuando una unidad aliada usa una habilidad, además de aumentar la velocidad de ataque un <color=#00e58a>50 %</color>.",当希纳斯协同效果处于激活状态时，如果我军单位使用技能，其物理防御力和魔法防御力额外增加<color=#00e58a>50</color>，攻击速度也额外增加<color=#00e58a>50%</color>。,西格諾斯連鎖效果為啟用狀態時，我軍英雄使用此技能時額外增加物理防禦力及魔法防禦力<color=#00e58a>50</color>，攻擊速度也增加<color=#00e58a>50%</color>。
RuneCard_RC20071_Desc,"결투가 시너지가 활성화된 상태일 때, 아군 결투가 유닛이 시너지 효과로 얻는 공격속도가 5회 중첩된 상태로 전투를 시작합니다. 또한 기본 공격 시 공격속도 증가 횟수가 최대 30회로 증가하며 추가 효과는 그대로 12회 중첩 시 획득합니다.",Default Text,"결투가 시너지가 활성화된 상태일 때, 아군 결투가 유닛이 시너지 효과로 얻는 공격속도가 5회 중첩된 상태로 전투를 시작합니다. 또한 기본 공격 시 공격속도 증가 횟수가 최대 30회로 증가하며 추가 효과는 그대로 12회 중첩 시 획득합니다.","When the Duelist Synergy is active in battle, ally Duelist units begin the battle with 5 stacks of Attack Speed from the Synergy effect. Also, the Attack Speed increase count from basic attacks increase to maximum of 30, and bonus effects are obtained as is at 12 stacks.","Cuando la sinergia de Duelista está activa en batalla, las unidades aliadas de Duelista empiezan la batalla con 5 acumulaciones de Velocidad de ataque por el efecto de la sinergia. Además, el número del aumento de la Velocidad de ataque de los ataques básicos sube a un máximo de 30, y los efectos de bonificación obtenidos, a 12 acumulaciones.",当决斗家协同效果处于激活状态时，我军决斗家单位通过协同效果所获得的攻击速度以叠加5层的状态开始战斗。此外，普通攻击时，攻击速度的增加次数上限增加至30次，额外效果则在叠加12层时获得。,決鬥家連鎖效果為啟動狀態時，我軍決鬥家英雄因連鎖效果效果，獲得的攻擊速度以5次疊加狀態開始戰鬥。此外，基本攻擊時，攻擊速度增加次數最多增加到30次，追加效果同樣於12次疊加時獲得。
RuneCard_RC20070_Desc,"처형자 시너지가 활성화된 상태일 때, 아군 처형자 유닛이 상대를 처형시킬 때마다 크리티컬 확률이 <color=#71E2FF>15%</color>, 크리티컬 피해량이 <color=#71E2FF>30%</color> 증가합니다.",Default Text,"처형자 시너지가 활성화된 상태일 때, 아군 처형자 유닛이 상대를 처형시킬 때마다 크리티컬 확률이 <color=#71E2FF>15%</color>, 크리티컬 피해량이 <color=#71E2FF>30%</color> 증가합니다.","When the Executioner Synergy is active, increases Critical Rate by <color=#71E2FF>15%</color> and Critical Damage by <color=#71E2FF>30%</color> each time an ally Executioner unit executes an opponent.","Cuando la sinergia de Ejecutor está activa, el Índice de crítico aumenta un <color=#71E2FF>15 %</color> y Daño crítico un <color=#71E2FF>30%</color> cada vez que una unidad aliada de Ejecutor ejecuta a un oponente.",当处刑者协同效果处于激活状态时，每次我军处刑者单位处决对方时，暴击率增加<color=#71E2FF>15%</color>，暴击伤害量增加<color=#71E2FF>30%</color>。,處刑者連鎖效果為啟動狀態時，我方處刑者英雄每當處刑對方時，致命攻擊率增加<color=#71E2FF>15%</color>、致命攻擊傷害量增加<color=#71E2FF>30%</color>。
RuneCard_RC20072_Desc,"판타스틱 테마파크 시너지가 활성화된 상태일 때, 퍼레이드의 주기가 1초 감소하며, 판타스틱 테마파크 유닛들의 최대 체력이 <color=#71E2FF>150</color>만큼 증가합니다.",Default Text,"판타스틱 테마파크 시너지가 활성화된 상태일 때, 퍼레이드의 주기가 1초 감소하며, 판타스틱 테마파크 유닛들의 최대 체력이 <color=#71E2FF>150</color>만큼 증가합니다.","When the Fantastic Theme World Synergy is active, the intervals between the Parade effect decrease by 1 second, and Fantastic Theme World units' Max HP increases by <color=#71E2FF>150</color>.","Cuando la sinergia de Mundo Temático de Fantasía está activa, los intervalos entre el efecto de Desfile se reducen en 1 segundo, y los PV máximos de las unidades de Mundo Temático de Fantasía aumentan en <color=#71E2FF>150</color>.",当梦幻主题公园协同效果处于激活状态时，游行周期减少1秒，且梦幻主题公园单位的最大血量增加<color=#71E2FF>150</color>。,奇幻主題樂園連鎖效果為啟動狀態時，遊行的週期減少1秒，奇幻主題樂園英雄的最大體力增加<color=#71E2FF>150</color>。
RuneCard_RC20067_Desc,"아랫마을 시너지가 활성화된 상태일 때, 전투 시작 시 옥석을 장착한 유닛이 한 개당 추가로 체력을 <color=#00e58a>200</color> 얻고 아랫마을 시너지가 활성화 된 수를 더해 10 스택마다 추가로 가지고 있는 <b>아랫마을 유닛들 중 하나를 획득</b>합니다. (현재 <color=#4BE192>{0}</color>스택)",Default Text,"아랫마을 시너지가 활성화된 상태일 때, 전투 시작 시 옥석을 장착한 유닛이 한 개당 추가로 체력을 <color=#00e58a>200</color> 얻고 아랫마을 시너지가 활성화 된 수를 더해 10 스택마다 추가로 가지고 있는 <b>아랫마을 유닛들 중 하나를 획득</b>합니다. (현재 <color=#4BE192>{0}</color>스택)","When the Korean Folk Town Synergy is active, units equipped with a jade stone at the start of battle gain <color=#00e58a>200</color> HP per jade stone. Adds a stack each time the Korean Folk Town Synergy is active <b>and gives you a Korean Folk Town unit</b> upon reaching 10 stacks. (Current Stacks: <color=#4BE192>{0}</color>)","Cuando la sinergia de Pueblo coreano está activa, las unidades equipadas con piedra de jade al principio de la batalla reciben <color=#00e58a>200</color> PV por piedra de jade. Añade una acumulación cada vez que la sinergia de Pueblo coreano está activa <b>y te da una unidad aleatoria de Pueblo coreano</b> al llegar a las 10 acumulaciones. (Acumulaciones actuales: <color=#4BE192>{0}</color>)",当童话村协同效果处于激活状态时，战斗开始后，每一个佩戴玉石的单位额外获得<color=#00e58a>200</color>血量。加上童话村协同效果的激活数量后，每10层堆叠从额外持有的<b>童话村单位中获得一个</b>。（当前为<color=#4BE192>{0}</color>堆叠）,童話村連鎖效果為啟動狀態時，戰鬥開始時，每一個裝備玉石的英雄將獲得額外體力<color=#00e58a>200</color>，加上童話村連鎖效果數量後，每疊加10次，追加獲得持有<b>童話村英雄中的其中一個</b>。(現在<color=#4BE192>{0}次</color>疊加)
Coach_Desc54,라운드가 시작되면 소지 룬 카드 중 한 장이 비활성화됩니다. {0}라운드 동안 지속됩니다.,Default Text,라운드가 시작되면 소지 룬 카드 중 한 장이 비활성화됩니다. {0}라운드 동안 지속됩니다.,"When the round begins, one of your Rune Cards is deactivated. Lasts for {0} round(s).","Al inicio de la ronda, se desactiva una de tus cartas de runa. Dura {0} ronda(s).",回合开始时，一张已持有的符文卡牌被禁用，并持续{0}回合。,回合開始時，持有的符文卡中的其中一張會被停用。效果將持續{0}回合。
